ID,Long,Lat,Source,Network,Intensity,PGA,PGV,Distance,VS30,HNZ_PGA,HNN_PGA,HNE_PGA,HNZ_PGV,HNN_PGV,HNE_PGV,HNZ_sa(0.3),HNN_sa(0.3),HNE_sa(0.3),HNZ_sa(1.0),HNN_sa(1.0),HNE_sa(1.0),HNZ_sa(3.0),HNN_sa(3.0),HNE_sa(3.0)
DYFI.UTM:(11S 0719 3878 1000),-114.59410,35.02530,DYFI,DYFI,3.7,Null,Null,259.707,334.87,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0719 4165 1000),-114.51320,37.61040,DYFI,DYFI,3.9,Null,Null,341.042,446.6,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0720 3622 1000),-114.64730,32.71820,DYFI,DYFI,3.2,Null,Null,403.979,198.78,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0720 3876 1000),-114.58360,35.00710,DYFI,DYFI,3.4,Null,Null,261.140,348.35,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0720 3878 1000),-114.58310,35.02510,DYFI,DYFI,3.2,Null,Null,260.684,368.17,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0720 3889 1000),-114.58020,35.12420,DYFI,DYFI,3.6,Null,Null,258.446,432.1,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0720 3893 1000),-114.57910,35.16030,DYFI,DYFI,3.9,Null,Null,257.746,445.92,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0721 3892 1000),-114.56840,35.15100,DYFI,DYFI,3.4,Null,Null,258.902,354.84,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0721 3894 1000),-114.56790,35.16910,DYFI,DYFI,3.3,Null,Null,258.562,357.01,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0722 3618 1000),-114.62690,32.68180,DYFI,DYFI,2.6,Null,Null,408.336,334.22,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0722 3619 1000),-114.62670,32.69080,DYFI,DYFI,2.8,Null,Null,407.557,334.22,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0722 3721 1000),-114.60180,33.61010,DYFI,DYFI,4,1.5007,2.5515,334.483,229.72,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0722 3722 1000),-114.60160,33.61910,DYFI,DYFI,3.4,Null,Null,333.838,229.72,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0724 3618 1000),-114.60560,32.68140,DYFI,DYFI,2.6,Null,Null,409.587,243.57,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0724 3892 1000),-114.53550,35.15040,DYFI,DYFI,3.8,Null,Null,261.853,477.19,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0725 3896 1000),-114.52340,35.18620,DYFI,DYFI,3.5,Null,Null,262.197,480.5,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0728 4046 1000),-114.44750,36.53660,DYFI,DYFI,3.9,Null,Null,284.104,420.42,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0730 3721 1000),-114.51560,33.60840,DYFI,DYFI,2.9,Null,Null,340.636,277.23,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0731 3722 1000),-114.50460,33.61710,DYFI,DYFI,4.4,2.7187,3.9579,340.787,373.61,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0732 3614 1000),-114.52140,32.64370,DYFI,DYFI,2,Null,Null,417.724,221.84,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0738 3818 1000),-114.40300,34.48050,DYFI,DYFI,3.7,Null,Null,296.646,313.14,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0739 3616 1000),-114.44630,32.66020,DYFI,DYFI,2,Null,Null,420.684,267.0,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0743 3817 1000),-114.34890,34.47040,DYFI,DYFI,3,Null,Null,301.620,600.0,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0743 3822 1000),-114.34740,34.51540,DYFI,DYFI,3,Null,Null,299.688,452.23,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0744 3821 1000),-114.33680,34.50610,DYFI,DYFI,3.4,Null,Null,300.995,433.23,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0745 3818 1000),-114.32680,34.47890,DYFI,DYFI,3.8,Null,Null,303.071,428.39,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0745 3823 1000),-114.32540,34.52390,DYFI,DYFI,2.5,Null,Null,301.155,446.01,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0746 3821 1000),-114.31510,34.50570,DYFI,DYFI,2.7,Null,Null,302.832,450.37,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0747 3815 1000),-114.30590,34.45140,DYFI,DYFI,4,1.5007,2.5515,306.086,434.52,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0749 3781 1000),-114.29400,34.14460,DYFI,DYFI,3.3,Null,Null,322.812,318.58,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0749 3782 1000),-114.29370,34.15360,DYFI,DYFI,3.7,Null,Null,322.334,318.58,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0750 3782 1000),-114.28290,34.15340,DYFI,DYFI,3.4,Null,Null,323.206,250.89,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0750 3816 1000),-114.27300,34.45970,DYFI,DYFI,2.7,Null,Null,308.445,454.0,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0756 4079 1000),-114.12410,36.82660,DYFI,DYFI,3.4,Null,Null,323.210,406.14,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0758 3729 1000),-114.21180,33.67400,DYFI,DYFI,2.7,Null,Null,358.043,275.98,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0759 4076 1000),-114.09150,36.79880,DYFI,DYFI,4,1.5007,2.5515,324.602,256.96,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0760 3901 1000),-114.13790,35.22270,DYFI,DYFI,3.2,Null,Null,296.144,495.73,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0760 4076 1000),-114.08030,36.79850,DYFI,DYFI,2.8,Null,Null,325.503,256.96,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
DYFI.UTM:(11S 0761 4077 1000),-114.06880,36.80720,DYFI,DYFI,3.3,Null,Null,326.829,278.68,1.0508,4.5878,5.8135,1.8204,3.9721,4.3095,3.4615,17.4401,28.4480,2.2639,7.4042,8.3997,0.4865,1.0074,1.2528
